ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase,inside,outside
2176,TYc097,97,仏生寺城跡（2000）,Toyama,SD06,TI,13.1,2.3,,TRUE,,BS_L15C,,
2177,TYc098,98,仏生寺城跡（2000）,Toyama,SD06,TJ,12,2.3,,TRUE,,BS_L15C,,
2178,TYc101,101,仏生寺城跡（2000）,Toyama,SD06,TJ,14.8,2.9,,TRUE,,BS_L15C,,
2179,TYc102,102,仏生寺城跡（2000）,Toyama,SD06,TJ,16.9,3.2,,TRUE,,BS_L15C,,
2180,TYc107,107,仏生寺城跡（2000）,Toyama,SD06,TJ,17,3.3,,TRUE,,BS_L15C,,
2181,TYc109,109,仏生寺城跡（2000）,Toyama,SD06,TJ,8,1.6,,TRUE,,BS_L15C,,
2182,TYc110,110,仏生寺城跡（2000）,Toyama,SD06,TJ,8.5,1.7,,TRUE,,BS_L15C,,
2183,TYc111,111,仏生寺城跡（2000）,Toyama,SD06,TJ,7.8,1.5,,TRUE,,BS_L15C,,
2184,TYc112,112,仏生寺城跡（2000）,Toyama,SD06,TJ,8.4,1.8,,TRUE,,BS_L15C,,
2185,TYc113,113,仏生寺城跡（2000）,Toyama,SD06,TJ,9.8,1.5,,TRUE,,BS_L15C,,
2186,TYc116,116,仏生寺城跡（2000）,Toyama,SD06,TJ,17,2.9,,TRUE,,BS_L15C,,
2187,TYc118,118,仏生寺城跡（2000）,Toyama,SD06,TI,7.6,1.7,,TRUE,,BS_L15C,,
2188,TYc120,120,仏生寺城跡（2000）,Toyama,SD06,TI,8,2,,TRUE,,BS_L15C,,
2189,TYc121,121,仏生寺城跡（2000）,Toyama,SD06,TI,8,1.7,,TRUE,,BS_L15C,,
2190,TYc123,123,仏生寺城跡（2000）,Toyama,SD06,TI,8.3,1.8,,TRUE,,BS_L15C,,
2191,TYc124,124,仏生寺城跡（2000）,Toyama,SD06,TI,8.6,1.7,,TRUE,,BS_L15C,,
2192,TYc125,125,仏生寺城跡（2000）,Toyama,SD06,TI,9,2,,TRUE,,BS_L15C,,
2193,TYc126,126,仏生寺城跡（2000）,Toyama,SD06,TI,9.8,2.2,,TRUE,,BS_L15C,,
2194,TYc128,128,仏生寺城跡（2000）,Toyama,SD06,TI,10.5,2.4,,TRUE,,BS_L15C,,
2195,TYc165,165,仏生寺城跡（2000）,Toyama,SD17,TJ,8,1.5,,TRUE,,BS_L15C,,
2196,TYc167,167,仏生寺城跡（2000）,Toyama,SD17,TJ,9.6,2,,TRUE,,BS_L15C,,
2197,TYc168,168,仏生寺城跡（2000）,Toyama,SD17,TJ,10.6,2.2,,TRUE,,BS_L15C,,
