ID,File_name,Report_ID,Site,Prefecture,remains,type,rim_diameter,hight,Reference,Target,Traces_of_processing,Phase
2229,TYe076,76,新庄城跡,Toyama,1SD04,TJ-b,14.9,2.5,,TRUE,,新庄城跡2期
2230,TYe077,77,新庄城跡,Toyama,1SE101,TJ,12.5,2.1,,TRUE,,
2231,TYe078,78,新庄城跡,Toyama,1SA01,TJ,13.9,2.3,,TRUE,,新庄城跡1期
2232,TYe083,83,新庄城跡,Toyama,1SD05,,14.5,3.5,,TRUE,,新庄城跡1期
2233,TYe086,86,新庄城跡,Toyama,1SD05,TJ-b,12.9,2.7,,TRUE,,新庄城跡1期
2234,TYe089,89,新庄城跡,Toyama,1SD200/2SD02,TJ-b,14.7,2.6,,TRUE,,新庄城跡4期
2235,TYe142,142,新庄城跡,Toyama,1SD200/2SD02,TI,8.2,1.8,,TRUE,,新庄城跡4期
2236,TYe143,143,新庄城跡,Toyama,1SD200/2SD02,TI,10.7,1.7,,TRUE,,新庄城跡4期
2237,TYe152,152,新庄城跡,Toyama,1SK148/2SK37,TJ,9,1.9,,TRUE,,新庄城跡4期
2238,TYf005,5,小出城跡,Toyama,新期SD01,TI,9,1.9,,TRUE,,小出城跡2期
2239,TYf009,9,小出城跡,Toyama,新期SD01,TI,8.7,2.2,,TRUE,,小出城跡2期
2240,TYf011,11,小出城跡,Toyama,新期SD01,TI,7.8,1.5,,TRUE,,小出城跡2期
2241,TYf014,14,小出城跡,Toyama,新期SD01,TJ,10.9,2.4,,TRUE,,小出城跡2期
2242,TYf019,19,小出城跡,Toyama,新期SD01,TI,15.5,2.3,,TRUE,,小出城跡2期
2243,TYf022,22,小出城跡,Toyama,新期SD01,TI,13.9,2.5,,TRUE,,小出城跡2期
2244,TYf060,60,小出城跡,Toyama,新期SD01,RH,11.4,1.8,,TRUE,,小出城跡2期
2245,TYf068,68,小出城跡,Toyama,新期SD01,TI,8,1.6,,TRUE,,小出城跡2期
2246,TYf071,71,小出城跡,Toyama,新期SD01,RF,8.9,1.6,,TRUE,,小出城跡2期
2247,TYf072,72,小出城跡,Toyama,新期SD01,RH,13.7,2.1,,TRUE,,小出城跡2期
2248,TYf081,81,小出城跡,Toyama,古期SD01,TI,8.5,1.8,,TRUE,,小出城跡1期
2249,TYg284,284,井口城跡,Toyama,SK15,RF,7.6,1.6,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2250,TYg286,286,井口城跡,Toyama,SK15,RF,7.6,2,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2251,TYg288,288,井口城跡,Toyama,SK15,RF,7.7,2,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2252,TYg289,289,井口城跡,Toyama,SK15,RF,7.7,2.2,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2253,TYg290,290,井口城跡,Toyama,SK15,RF,7.9,2.1,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2254,TYg291,291,井口城跡,Toyama,SK15,RF,7.7,1.8,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2255,TYg292,292,井口城跡,Toyama,SK15,RF,8.3,1.9,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2256,TYg293,293,井口城跡,Toyama,SK15,RF,10.8,2.4,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2257,TYg294,294,井口城跡,Toyama,SK15,RF,10.8,2.5,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2258,TYg296,296,井口城跡,Toyama,SK15,RH,13.6,2.8,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2259,TYg297,297,井口城跡,Toyama,SK15,RH,13.8,2.8,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2260,TYg299,299,井口城跡,Toyama,SK15,RH,14,3.2,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2261,TYg300,300,井口城跡,Toyama,SK15,RH,14.4,3,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2262,TYg301,301,井口城跡,Toyama,SK15,RH,14.4,2.6,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2263,TYg302,302,井口城跡,Toyama,SK15,RH,14.4,2.8,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2264,TYg303,303,井口城跡,Toyama,SK15,RH,14.2,2.8,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2265,TYg305,305,井口城跡,Toyama,SK15,RH,14.4,2.8,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2266,TYg306,306,井口城跡,Toyama,SK15,RH,14.6,2.9,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2267,TYg307,307,井口城跡,Toyama,SK15,RH,14.8,3.2,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2268,TYg309,309,井口城跡,Toyama,SK15,RH,15.6,2.7,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2269,TYg311,311,井口城跡,Toyama,SK15,RH,17.8,3.2,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2270,TYg315,315,井口城跡,Toyama,SK15周辺,RF,7.8,1.8,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2271,TYg316,316,井口城跡,Toyama,SK15周辺,RF,10.3,2.5,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2272,TYg319,319,井口城跡,Toyama,SK15周辺,RH,14.7,3,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2273,TYg320,320,井口城跡,Toyama,SK15周辺,RH,14.8,3,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
2274,TYg321,321,井口城跡,Toyama,SK15周辺,RH,14.8,2.6,富山県埋蔵文化財センター1990,TRUE,,15世紀後半
